Tot_Match_Played,Tot_Runs,batsman,run_Over_1,run_Over_10,run_Over_11,run_Over_12,run_Over_13,run_Over_14,run_Over_15,run_Over_16,run_Over_17,run_Over_18,run_Over_19,run_Over_2,run_Over_20,run_Over_3,run_Over_4,run_Over_5,run_Over_6,run_Over_7,run_Over_8,run_Over_9
114.0,4180.0,DA Warner,319.0,217.0,178.0,159.0,150.0,120.0,177.0,154.0,115.0,68.0,77.0,401.0,0.0,346.0,327.0,375.0,323.0,206.0,225.0,243.0
126.0,3734.0,S Dhawan,289.0,166.0,166.0,162.0,131.0,114.0,104.0,95.0,103.0,94.0,84.0,342.0,0.0,404.0,322.0,267.0,283.0,206.0,200.0,202.0
50.0,947.0,MC Henriques,0.0,69.0,44.0,31.0,27.0,49.0,57.0,48.0,82.0,76.0,71.0,10.0,0.0,25.0,31.0,42.0,62.0,95.0,61.0,67.0
116.0,2582.0,Yuvraj Singh,5.0,126.0,201.0,192.0,241.0,274.0,232.0,304.0,218.0,164.0,119.0,15.0,0.0,30.0,20.0,59.0,64.0,69.0,87.0,162.0
30.0,365.0,DJ Hooda,0.0,4.0,23.0,37.0,56.0,41.0,46.0,42.0,37.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0
8.0,95.0,BCJ Cutting,0.0,0.0,0.0,7.0,1.0,1.0,9.0,2.0,21.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,3880.0,CH Gayle,339.0,147.0,193.0,157.0,211.0,142.0,139.0,139.0,82.0,123.0,52.0,341.0,0.0,404.0,293.0,313.0,226.0,161.0,230.0,188.0
58.0,1157.0,Mandeep Singh,107.0,78.0,41.0,25.0,46.0,22.0,42.0,30.0,26.0,22.0,32.0,110.0,0.0,124.0,82.0,70.0,94.0,76.0,56.0,74.0
10.0,181.0,TM Head,2.0,10.0,12.0,9.0,13.0,14.0,16.0,11.0,14.0,28.0,22.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,11.0,5.0
57.0,819.0,KM Jadhav,0.0,32.0,40.0,39.0,54.0,54.0,77.0,82.0,116.0,80.0,120.0,0.0,0.0,10.0,1.0,3.0,24.0,22.0,44.0,21.0
98.0,2723.0,SR Watson,104.0,189.0,147.0,117.0,177.0,198.0,173.0,126.0,118.0,62.0,39.0,100.0,0.0,150.0,152.0,156.0,198.0,171.0,165.0,181.0
10.0,139.0,Sachin Baby,0.0,3.0,1.0,3.0,11.0,10.0,13.0,10.0,16.0,47.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56.0,736.0,STR Binny,0.0,82.0,46.0,60.0,27.0,57.0,68.0,60.0,71.0,64.0,61.0,0.0,0.0,0.0,0.0,5.0,13.0,19.0,38.0,65.0
10.0,43.0,S Aravind,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,16.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8.0,7.0,YS Chahal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,TS Mills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
